"wp_product_id","description"
"599754","reducere pana pe 10.04.2025"
"599782","reducere pana pe 31 martie"
"599954","reducere primele bilete"
"600036","nu uita sa-ti alegi aici marimea tricoului"
"600113","reducere pana pe 25.02.2025"
"600170","reducere primele bilete"
"600933","*la acces se prezinta carnet elev/student"
"601406","primele bilete pana pe 01 martie"
"601407","reducere pana pe 28.03.2025"
"603780","reducere pana pe 21.08.2025"
"603802","reducere pana pe 21.08.2025"
"604341","reducere pana pe 21.04.2025"
"604342","reducere pana pe 21.04.2025"
"604344","reducere pana pe 21.04.2025"
"604388","reducere pana pe 21.04.2025"
"604401","reducere pana pe 21.04.2025"
"604402","reducere pana pe 21.04.2025"
"604443","reducere pana pe 21.04.2025"
"604446","reducere pana pe 21.04.2025"
"604447","reducere pana pe 21.04.2025"
"604549","Bilet (doar pentru bărbați)"
"604722","reducere primele bilete"
"605027","reducere primele bilete"
"605043","reducere primele bilete"
"605044","reducere primele bilete"
"605321","Se prezintă actul doveditor la acces"
"605409","reducere pana in 31 martie"
"605434","reducere primele bilete"
"606563","reducere primele bilete"
"606568","reducere pana pe 26.04.25"
"607463","reducere primele bilete"
"607467","reducere pana pe 05.03.25"
"607786","reducere primele bilete"
"608394","Se prezintă actul doveditor la acces"
"608416","Se prezintă actul doveditor la acces"
"608720","reducere primele bilete"
"608722","reducere până în 03.04.2025"
"608731","reducere până în 03.04.2025"
"608733","Se prezintă actul doveditor la acces"
"609136","reducere primele bilete"
"609139","Se prezintă actul doveditor la acces"
"609663","Se prezintă actul doveditor la acces"
"609690","reducere pana pe 01.05.2025"
"609701","reducere pana pe 25.05.2025"
"609798","reducere primele bilete"
"609862","reducere pana pe 21.04.2025"
"609863","reducere pana pe 21.04.2025"
"609864","reducere pana pe 21.04.2025"
"609871","reducere pana pe 21.04.2025"
"609953","reducere primele bilete"
"609964","*la acces se prezinta carnet elev/student"
"610571","reducere primele bilete"
"611754","reducere primele bilete"
"611832","reducere primele bilete"
"611849","reducere primele bilete"
"611854","reducere"
"612069","reducere primele bilete"
"612359","reducere primele bilete"
"612780","reducere primele bilete"
"612928","reducere primele bilete"
"612939","reducere pana pe 11 mai"
"613077","nu uita sa-ti alegi aici marimea tricoului"
"613078","nu uita sa-ti alegi aici marimea tricoului"
"613079","nu uita sa-ti alegi aici marimea tricoului"
"613082","nu uita sa-ti alegi aici marimea tricoului"
"613104","nu uita sa-ti alegi aici marimea tricoului"
"613121","reducere primele bilete"
"613291","reducere primele bilete"
"613458","reducere primele bilete"
"613783","reducere primele bilete"
"613824","reducere pana pe 20.04.25"
"613825","reducere pana pe 20.04.25"
"615636","reducere pana pe 30 martie"
"615720","reducere primele bilete"
"615776","Acces loc la masa"
"615822","Acces loc la masa"
"615823","Acces loc la masa"
"615849","*la acces se prezinta carnet elev/student"
"615979","*la acces se prezinta carnet elev/student"
"616097","reducere primele bilete"
"616154","Reducere pentru primele abonamente"
"616155","Reducere pentru primele abonamente"
"616220","Se prezintă actul doveditor la acces"
"616518","Primele 50 bilete"
"616519","Reducere pana pe 31.10.25"
"616576","reducere primele bilete"
"616626","reducere primele bilete"
"617275","Disponibile 50 bilete"
"617483","reducere primele bilete"
"617495","reducere primele bilete"
"617940","Reducere abonamente pentru varsta 12-18 ani"
"617960","Reducere abonamente pentru varsta 18-21 ani"
"618866","*la acces se prezinta carnet elev/student"
"618867","*la acces se prezinta carnet elev/student"
"619813","reducere primele bilete"
"621795","La acces se prezinta actul doveditor"
"622610","reducere pana pe 24 martie"
"622683","reducere primele bilete"
"622690","*la acces se prezinta carnet elev/student"
"622865","reducere primele bilete"
"623517","reducere primele bilete"
"623581","reducere primele bilete"
"623690","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"623962","reducere primele bilete"
"624409","reducere primele bilete"
"624500","reducere primele bilete"
"625912","reducere primele bucati"
"625944","reducere până pe 24 aprilie"
"625963","reducere primele bucati"
"625969","reducere până pe 24 aprilie"
"626000","reducere până pe 25 aprilie"
"626454","reducere primele bilete"
"627425","reducere primele bilete"
"627633","Se prezintă actul doveditor la acces"
"627661","Se prezintă actul doveditor la acces"
"627672","Se prezintă actul doveditor la acces"
"627889","reducere pana in 23 mai"
"628293","reducere primele bilete"
"628334","reducere primele bilete"
"629617","reducere primele bilete"
"629788","reducere primele bilete"
"629802","reducere pana pe 18.05.25"
"629948","reducere pana pe 21.04.2025"
"629950","reducere pana pe 21.04.2025"
"629953","reducere pana pe 21.04.2025"
"630249","pret unic"
"630665","reducere primele bilete"
"630705","reducere primele bilete"
"630759","reducere primele bilete"
"631015","reducere primele bilete"
"631025","reducere primele bilete"
"631787","reducere primele bilete"
"632953","*la acces se prezinta carnet elev/student"
"633434","reducere pana pe 14.05.25"
"633445","reducere pana pe 14.05.25"
"633446","reducere pana pe 14.05.25"
"633956","reducere primele bilete"
"633961","*La acces se prezinta carnetul de elev/student"
"634271","Accesul celor 2 persoane se face in acelasi timp"
"635127","*La acces se prezinta carnetul de elev/student"
"635536","*La acces se prezinta carnetul de elev/student"
"635541","*La acces se prezinta carnetul de elev/student"
"635548","*La acces se prezinta carnetul de elev/student"
"635558","*La acces se prezinta carnetul de elev/student"
"635631","reducere primele abonamente"
"635872","un loc zona A la canapele"
"635965","reducere pana pe 01.06.2025"
"637246","reducere primele bucati"
"637254","reducere primele bilete.La acces se prezinta carnet student/elev"
"637255","reducere până pe 9 mai 2025"
"637258","reducere pana pe 19 decembrie"
"638986","Biletul de zi nu are drept de participare la tombola"
"639378","reducere pana pe 30.08.2025"
"639386","reducere pana pe 30.08.2025"
"639388","reducere pana pe 30.08.2025"
"639390","reducere pana pe 30.08.2025"
"639412","reducere pana pe 23.05.25"
"639413","reducere pana pe 23.05.25"
"639414","reducere pana pe 23.05.25"
"639821","susținerea actului artistic"
"639822","susținerea actului artistic"
"639824","susținerea actului artistic"
"639859","bilet fără loc"
"639867","susținerea actului artistic"
"639868","susținerea actului artistic"
"639869","susținerea actului artistic"
"639872","susținerea actului artistic"
"639873","susținerea actului artistic"
"639874","susținerea actului artistic"
"640171","reducere pana pe 25.08.2025"
"640172","reducere pana pe 25.08.2025"
"640173","reducere pana pe 25.08.2025"
"640229","reducere pana pe 11.10.2025"
"640242","reducere pana pe 11.10.2025"
"640246","reducere pana pe 11.10.2025"
"641049","la acces se prezinta act doveditor"
"641399","reducere pana pe 04.05.25"
"641400","reducere"
"642184","reducere primele abonamente"
"642619","reducere primele bilete"
"642627","reducere primele bilete"
"642633","reducere pana pe 17.07"
"642709","reducere primele bilete"
"642782","reducere primele bilete"
"642784","reducere primele bilete"
"642785","reducere primele bilete"
"643001","reducere pana pe 31.05.25"
"643034","reducere pana pe 05.06.25"
"643303","reducere primele bilete"
"643362","reducere primele bilete"
"643803","susținerea actului artistic"
"643804","susținerea actului artistic"
"643805","susținerea actului artistic"
"644586","reducere pana pe 15.06.25"
"644593","Acces permis doar cu carnet de elev sau student vizat la zi"
"644612","reducere pana pe 15.06.25"
"644613","reducere pana pe 15.06.25"
"644617","reducere pana pe 15.06.25"
"644631","reducere pana pe 15.06.25"
"644649","Acces permis doar cu carnet de elev sau student vizat la zi"
"645070","susținerea actului artistic"
"645072","susținerea actului artistic"
"645073","susținerea actului artistic"
"645074","susținerea actului artistic"
"645080","susținerea actului artistic"
"645084","susținerea actului artistic"
"645102","susținerea actului artistic"
"645106","susținerea actului artistic"
"645108","susținerea actului artistic"
"645117","susținerea actului artistic"
"645118","susținerea actului artistic"
"645122","susținerea actului artistic"
"645172","reducere primele bilete"
"645211","reducere pana pe 10.05.2025"
"645305","reducere pana pe 10.05.2025"
"645347","reducere primele bilete"
"646330","reducere primele bilete"
"646869","reducere pana pe 15.06.25"
"646878","reducere pana pe 15.06.25"
"646904","reducere pana pe 15.06.25"
"646909","reducere pana pe 15.06.25"
"646996","reducere primele abonamente"
"647842","reducere primele bilete"
"648095","valabil 2 zile la alegere"
"648097","valabil 3 zile la alegere"
"648577","reducere primele bilete"
"648689","reducere primele bilete"
"648741","reducere primele bilete"
"649284","se poate achizitiona doar pachet intreg pt grup de 6 persoane"
"649286","se poate achizitiona doar pachet intreg pt grup de 6 persoane"
"649682","Accesul celor 5 persoane se face in acelasi timp"
"650277","Reducere primele bilete"
"650289","Reducere pana pe 19.06.25"
"650665","reducere pina pe 31.05.25"
"650666","reducere pina pe 30.06.25"
"650717","reducere primele bilete"
"650719","reducere pana pe 13.06.25"
"651535","reducere pana pe 21.05.25"
"651536","reducere pana pe 21.05.25"
"651538","reducere pana pe 21.05.25"
"652014","reducere pana pe 28.05.25"
"652017","reducere pana pe 28.05.25"
"652021","reducere pana pe 28.05.25"
"652817","Reducere primele bilete"
"653606","reducere primele bilete"
"653608","reducere primele bilete"
"654089","biletul nu asigura loc la masa"
"654888","reducere primele bilete"
"654896","reducere primele bilete"
"655425","reducere pana pe 30.05.25"
"655428","gratuit primele inscrieri"
"655625","reducere primele abonamente"
"656382","reducere primele bilete"
"657303","susținerea actului artistic"
"657304","susținerea actului artistic"
"657305","susținerea actului artistic"
"659090","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"667670","reducere pana pe 30.06.25"
"667677","reducere pana pe 30.06.25"
"667678","reducere pana pe 30.06.25"
"667717","Include: Cină +1 Prosecco si experiența jocului"
"667727","Include: Cină +1 Prosecco si experiența jocului"
"667751","reducere pana pe 31.07.25"
"667775","reducere pana pe 31.07.25"
"667776","reducere pana pe 31.07.25"
"668419","pretul include o bautura"
"668434","pretul include o bautura"
"669198","reducere primele bilete"
"669201","reducere primele bilete"
"669202","reducere primele bilete"
"669205","reducere primele bilete"
"669394","reducere primele abonamente"
"669659","reducere primele bilete"
"669731","Oferta 1+1 FREE: adauga in cos multiplu de 2"
"669795","For our students’ guests: parents, grandparents, siblings, neighbors, friends./Pentru părinții, familia și invitații elevilor noștri."
"669879","reducere primele bilete"
"670299","reducere primele bilete"
"670635","reducere primele abonamente"
"670639","reducere pana la 01.10.2025"
"670640","reducere primele bilete"
"670645","reducere primele bilete"
"670754","reducere pana pe 30 iulie"
"670863","se rezerva pana pe 27 iulie"
"670864","la acces cash 65 lei"
"670868","se rezerva pana pe 27 iulie"
"670907","reducere primele bilete"
"670976","reducere primele bilete"
"671209","reducere primele bilete"
"671381","reducere primele bilete"
"671449","reducere primele bilete"
"671637","reducere primele bilete"
"671771","reducere primele bilete"
"672358","reducere primele abonamente"
"672365","reducere primele abonamente"
"672367","reducere primele bilete"
"672371","reducere primele bilete"
"672381","reducere primele bilete"
"672836","susținerea actului artistic"
"672837","susținerea actului artistic"
"672838","susținerea actului artistic"
"672852","susținerea actului artistic"
"672854","susținerea actului artistic"
"672855","susținerea actului artistic"
"673158","acest bilet NU asigura loc pe scaun"
"673230","susținerea actului artistic"
"673231","susținerea actului artistic"
"673232","susținerea actului artistic"
"673245","susținerea actului artistic"
"673248","susținerea actului artistic"
"673249","susținerea actului artistic"
"673608","Se prezintă actul doveditor la acces"
"673914","reducere primele bilete"
"673967","numar limitat de locuri"
