"wp_order_id","order_status","coupon_codes","discount_amount","order_total"
"767411","wc-completed","HaiLaQfeel!","40","172.00"
"767309","wc-processing","Caria100#","900","0.00"
"767090","wc-completed","HaiLaQfeel!","12","51.60"
"767044","wc-completed","HaiLaQfeel!","20","86.00"
"766713","wc-completed","HaiLaQfeel!","40","172.00"
"766616","wc-completed","HaiLaQfeel!","30","129.00"
"766601","wc-completed","HaiLaQFeel!","30","129.00"
"766555","wc-completed","HaiLaQfeel!","40","172.00"
"766164","wc-completed","HaiLaQfeel!","10","43.00"
"766153","wc-completed","HaiLaQfeel!","30","129.00"
"766075","wc-processing","KUY100ADA","60","0.00"
"765886","wc-completed","HaiLaQfeel!","20","86.00"
"765836","wc-completed","HaiLaQfeel!","12","51.60"
"765745","wc-completed","HaiLaQfeel!","36","154.80"
"765741","wc-cancelled","HaiLaQfeel!","36","154.80"
"765713","wc-failed","HaiLaQfeel!","30","129.00"
"765635","wc-processing","KUY100ADA","120","0.00"
"765623","wc-processing","KUY100ADA","60","0.00"
"765507","wc-completed","HaiLaQfeel!","20","86.00"
"765489","wc-processing","KUY100ADA","840","0.00"
"765030","wc-completed","HailaQfeel!","30","129.00"
"765013","wc-completed","HailaQfeel!","20","86.00"
"764936","wc-completed","HailaQfeel!","20","86.00"
"764848","wc-completed","HailaQfeel!","36","154.80"
"764717","wc-completed","HaiLaQfeel!","80","344.00"
"764701","wc-processing","KUY100ADA","630","0.00"
"764689","wc-completed","HaiLaQfeel!","30","129.00"
"764606","wc-completed","HaiLaQfeel!","30","129.00"
"764596","wc-cancelled","HaiLaQfeel!","36","154.80"
"764580","wc-completed","HaiLaQfeel!","30","129.00"
"764533","wc-completed","HaiLaQfeel!","24","103.50"
"764480","wc-completed","LUNATIC33","20","43.60"
"764417","wc-completed","HaiLaQfeel!","72","309.60"
"764402","wc-completed","LUNATIC33","40","87.20"
"764384","wc-completed","HaiLaQfeel!","70","301.00"
"764283","wc-completed","HaiLaQfeel!","20","86.00"
"764276","wc-completed","HaiLaQfeel!","24","103.20"
"764273","wc-completed","HaiLaQfeel!","24","103.20"
"764260","wc-completed","HaiLaQfeel!","60","258.00"
"764253","wc-completed","HaiLaQfeel!","72","309.60"
"764140","wc-processing","KUY100ADA","1440","0.00"
