nume,nume_en,slug,subtitlu,descriere,oras,judet,tip,adresa,latitudine,longitudine,meta_title,meta_description,cuvinte_cheie,imagine_principala,galerie_foto,imagine_credit,cod_lmi
"Casa Memorială „Vasile Pogor”",,casa-memoriala-vasile-pogor-iasi,,,Iași,Iași,muzeu,"Str. Pogor Vasile 4",47.172048,27.576257,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Ia%C5%9Fi_%2C_Romanian_Literature_Museum_%28House_Pogor%29.JPG/1280px-Ia%C5%9Fi_%2C_Romanian_Literature_Museum_%28House_Pogor%29.JPG,,"{""author"":""Argenna"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Iaşi_,_Romanian_Literature_Museum_(House_Pogor).JPG""}",IS-II-m-B-04358
"Colecția muzeală „Istoria teatrului românesc” din Iași",,colectia-muzeala-istoria-teatrului-romanesc-din-iasi-iasi,,,Iași,Iași,muzeu,"Str. Vasile Alecsandri 5",47.178962,27.567178,,,,,,,IS-II-m-B-03701
"Muzeul Memorial „Mihail Kogălniceanu”",,muzeul-memorial-mihail-kogalniceanu-iasi,,,Iași,Iași,muzeu,"Str. Kogălniceanu Mihail 11",47.17343,27.580547,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/Casa_Mihail_Kog%C4%83lniceanu_IASI.JPG/1280px-Casa_Mihail_Kog%C4%83lniceanu_IASI.JPG,,"{""author"":""KittyKaliNeo"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Mihail_Kogălniceanu_IASI.JPG""}",IS-II-m-B-03919
"Muzeul Unirii din Iași, Str. Lăpușneanu Alexandru 14",,muzeul-unirii-din-iasi-str-lapusneanu-alexandru-14-iasi,,"muzeu din Iași, România",Iași,Iași,muzeu,"Str. Lăpușneanu Alexandru 14",47.167423,27.579146,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Palatul_domnitorului_Alexandru_Ioan_Cuza_%28azi_Muzeul_%E2%80%9EUnirii%E2%80%9D_-_Complexul_Na%C8%9Bional_Muzeal_Moldova%29_%281%29.jpg/1280px-Palatul_domnitorului_Alexandru_Ioan_Cuza_%28azi_Muzeul_%E2%80%9EUnirii%E2%80%9D_-_Complexul_Na%C8%9Bional_Muzeal_Moldova%29_%281%29.jpg,,"{""author"":""Manole Alexandru"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_domnitorului_Alexandru_Ioan_Cuza_(azi_Muzeul_„Unirii”_-_Complexul_Național_Muzeal_Moldova)_(1).jpg""}",IS-II-m-A-03930
"Muzeul Universității „Al. I. Cuza”",,muzeul-universitatii-al-i-cuza-iasi,,,Iași,Iași,muzeu,"Str. Maiorescu Titu 12",47.1761599,27.5682961,,,,,,,IS-II-m-B-03937
"Muzeul Memorial „Poni - Cernătescu”",,muzeul-memorial-poni-cernatescu-iasi,,,Iași,Iași,muzeu,"Str. Kogălniceanu Mihail 7-B",47.172644,27.580632,,,,,,,IS-II-m-B-03918
"Spitalul de Urgențe (corp vechi)",,spitalul-de-urgente-corp-vechi-iasi,,,Iași,Iași,cladire-istorica,"Str. Berthelot Henri M., general 2",47.1747744,27.576874,,,,,,,IS-II-m-B-03736
"Universitatea „Alexandru Ioan Cuza”",,universitatea-alexandru-ioan-cuza-iasi,,,Iași,Iași,cladire-istorica,"Bd. Carol I 11",47.174067,27.573241,,,,,,,IS-II-m-B-03783
"Spital Clinic nr. 2, Bd. Carol I 50",,spital-clinic-nr-2-bd-carol-i-50-iasi,,,Iași,Iași,cladire-istorica,"Bd. Carol I 50",47.180429,27.568184,,,,,,,IS-II-m-B-03793
"Fostul sediu Banc Post, Str. Cuza Vodă 10",,fostul-sediu-banc-post-str-cuza-voda-10-iasi,,,Iași,Iași,cladire-istorica,"Str. Cuza Vodă 10",47.164749,27.583188,,,,,,,IS-II-m-B-03843
